INFO 2023-09-22 15:15:16,544 autoreload trigger_reload 21689 8461475328 /Users/hikmatillo/PycharmProjects/expo_bot/views.py changed, reloading.
INFO 2023-09-22 15:15:17,163 autoreload run_with_reloader 21708 8461475328 Watching for file changes with StatReloader
INFO 2023-09-22 15:31:42,625 autoreload trigger_reload 21708 8461475328 /Users/hikmatillo/PycharmProjects/expo_bot/expoBot/service/bot.py changed, reloading.
INFO 2023-09-22 15:31:43,355 autoreload run_with_reloader 22033 8461475328 Watching for file changes with StatReloader
INFO 2023-09-22 15:33:11,234 autoreload trigger_reload 22033 8461475328 /Users/hikmatillo/PycharmProjects/expo_bot/expoBot/service/bot.py changed, reloading.
INFO 2023-09-22 15:33:12,166 autoreload run_with_reloader 22071 8461475328 Watching for file changes with StatReloader
INFO 2023-09-22 15:33:48,523 autoreload trigger_reload 22071 8461475328 /Users/hikmatillo/PycharmProjects/expo_bot/expoBot/service/bot.py changed, reloading.
INFO 2023-09-22 15:33:49,135 autoreload run_with_reloader 22092 8461475328 Watching for file changes with StatReloader
INFO 2023-09-22 15:49:46,223 autoreload run_with_reloader 254011 140160175165440 Watching for file changes with StatReloader
INFO 2023-09-22 15:49:55,297 basehttp log_message 254011 140159783056960 "GET /admin/expoBot/bot/ HTTP/1.0" 200 16119
INFO 2023-09-22 15:49:55,297 basehttp log_message 254011 140159783056960 "GET /admin/expoBot/bot/ HTTP/1.0" 200 16119
WARNING 2023-09-22 15:49:55,459 log log_response 254011 140159783056960 Not Found: /staticvendor/fontawesome-free/css/all.min.css
INFO 2023-09-22 15:49:55,499 basehttp log_message 254011 140159395812928 "GET /admin/jsi18n/ HTTP/1.0" 200 16066
INFO 2023-09-22 15:49:55,499 basehttp log_message 254011 140159395812928 "GET /admin/jsi18n/ HTTP/1.0" 200 16066
WARNING 2023-09-22 15:49:55,537 log log_response 254011 140159395812928 Not Found: /staticvendor/adminlte/css/adminlte.min.css
WARNING 2023-09-22 15:49:55,543 basehttp log_message 254011 140159783056960 "GET /staticvendor/fontawesome-free/css/all.min.css HTTP/1.0" 404 2351
WARNING 2023-09-22 15:49:55,543 basehttp log_message 254011 140159783056960 "GET /staticvendor/fontawesome-free/css/all.min.css HTTP/1.0" 404 2351
WARNING 2023-09-22 15:49:55,601 log log_response 254011 140159783056960 Not Found: /staticadmin/js/vendor/jquery/jquery.js
WARNING 2023-09-22 15:49:55,606 log log_response 254011 140159379027520 Not Found: /staticvendor/select2/css/select2.min.css
WARNING 2023-09-22 15:49:55,620 log log_response 254011 140159387420224 Not Found: /staticjazzmin/css/main.css
WARNING 2023-09-22 15:49:55,673 basehttp log_message 254011 140159379027520 "GET /staticvendor/select2/css/select2.min.css HTTP/1.0" 404 2336
WARNING 2023-09-22 15:49:55,673 basehttp log_message 254011 140159379027520 "GET /staticvendor/select2/css/select2.min.css HTTP/1.0" 404 2336
WARNING 2023-09-22 15:49:55,687 log log_response 254011 140159370634816 Not Found: /staticadmin/js/jquery.init.js
WARNING 2023-09-22 15:49:55,716 basehttp log_message 254011 140159395812928 "GET /staticvendor/adminlte/css/adminlte.min.css HTTP/1.0" 404 2342
WARNING 2023-09-22 15:49:55,716 basehttp log_message 254011 140159395812928 "GET /staticvendor/adminlte/css/adminlte.min.css HTTP/1.0" 404 2342
WARNING 2023-09-22 15:49:55,725 log log_response 254011 140159362242112 Not Found: /staticadmin/js/core.js
WARNING 2023-09-22 15:49:55,729 basehttp log_message 254011 140159387420224 "GET /staticjazzmin/css/main.css HTTP/1.0" 404 2294
WARNING 2023-09-22 15:49:55,730 basehttp log_message 254011 140159783056960 "GET /staticadmin/js/vendor/jquery/jquery.js HTTP/1.0" 404 2330
WARNING 2023-09-22 15:49:55,729 basehttp log_message 254011 140159387420224 "GET /staticjazzmin/css/main.css HTTP/1.0" 404 2294
WARNING 2023-09-22 15:49:55,730 basehttp log_message 254011 140159783056960 "GET /staticadmin/js/vendor/jquery/jquery.js HTTP/1.0" 404 2330
WARNING 2023-09-22 15:49:55,808 basehttp log_message 254011 140159370634816 "GET /staticadmin/js/jquery.init.js HTTP/1.0" 404 2303
WARNING 2023-09-22 15:49:55,808 basehttp log_message 254011 140159370634816 "GET /staticadmin/js/jquery.init.js HTTP/1.0" 404 2303
WARNING 2023-09-22 15:49:55,852 log log_response 254011 140159387420224 Not Found: /staticadmin/js/actions.js
WARNING 2023-09-22 15:49:56,000 basehttp log_message 254011 140159362242112 "GET /staticadmin/js/core.js HTTP/1.0" 404 2282
WARNING 2023-09-22 15:49:56,014 log log_response 254011 140159783056960 Not Found: /staticadmin/js/prepopulate.js
